iter	Passed	Remaining
0	1	1578
1	2	1256
2	3	1163
3	4	1114
4	5	1087
5	6	1068
6	7	1069
7	8	1072
8	9	1081
9	10	1075
10	12	1082
11	13	1088
12	14	1089
13	15	1080
14	16	1072
15	17	1067
16	18	1069
17	19	1068
18	20	1057
19	21	1049
20	22	1046
21	23	1041
22	24	1060
23	25	1052
24	26	1048
25	27	1038
26	28	1033
27	29	1028
28	30	1023
29	31	1017
30	32	1013
31	33	1012
32	34	1010
33	35	1002
34	36	999
35	37	997
36	38	994
37	39	997
38	40	998
39	41	999
40	42	998
41	43	995
42	44	994
43	45	994
44	46	995
45	48	998
46	49	998
47	50	996
48	51	994
49	52	997
50	53	997
51	54	997
52	55	995
53	56	995
54	58	996
55	59	996
56	60	993
57	60	988
58	61	985
59	62	983
60	63	982
61	64	980
62	65	977
63	67	981
64	68	981
65	69	979
66	70	981
67	71	980
68	72	979
69	73	977
70	74	975
71	75	974
72	76	973
73	77	971
74	78	969
75	79	967
76	80	966
77	81	964
78	82	967
79	84	966
80	85	964
81	86	962
82	86	960
83	88	960
84	89	958
85	89	956
86	91	956
87	92	956
88	93	953
89	94	952
90	95	952
91	96	950
92	97	948
93	98	947
94	99	947
95	100	947
96	101	946
97	102	941
98	103	940
99	104	940
100	105	939
101	106	938
102	107	937
103	109	945
104	111	946
105	112	945
106	113	946
107	115	952
108	116	955
109	118	956
110	119	959
111	120	958
112	121	957
113	122	955
114	123	953
115	124	952
116	126	951
117	127	949
118	128	947
119	129	946
120	130	944
121	131	943
122	132	943
123	133	942
124	134	941
125	136	945
126	137	947
127	139	947
128	140	946
129	141	944
130	142	944
131	143	943
132	144	941
133	145	942
134	147	942
135	148	941
136	149	939
137	150	938
138	151	938
139	152	939
140	154	938
141	155	938
142	156	936
143	157	937
144	158	936
145	159	934
146	160	933
147	161	931
148	162	927
149	163	927
150	164	927
151	165	925
152	167	925
153	168	923
154	169	923
155	170	921
156	171	922
157	172	921
158	173	920
159	175	918
160	176	917
161	177	916
162	178	915
163	179	914
164	180	913
165	181	911
166	182	910
167	183	910
168	184	909
169	185	907
170	186	906
171	188	905
172	189	904
173	190	903
174	191	901
175	192	900
176	193	899
177	194	898
178	195	897
179	196	896
180	197	894
181	198	893
182	199	890
183	200	889
184	201	888
185	202	887
186	203	886
187	204	884
188	205	883
189	206	881
190	208	881
191	209	880
192	210	878
193	211	877
194	212	875
195	212	873
196	213	871
197	215	871
198	216	870
199	217	868
200	218	866
201	218	864
202	219	862
203	220	861
204	221	859
205	222	858
206	223	856
207	224	855
208	225	853
209	226	852
210	227	850
211	228	849
212	229	848
213	230	846
214	231	844
215	232	843
216	233	842
217	234	839
218	235	838
219	235	836
220	236	834
221	237	833
222	238	831
223	239	830
224	240	829
225	241	827
226	242	826
227	243	824
228	244	823
229	245	823
230	246	821
231	247	820
232	248	818
233	249	816
234	250	815
235	251	814
236	252	813
237	253	811
238	254	810
239	255	808
240	256	807
241	257	805
242	258	804
243	259	803
244	260	801
245	261	800
246	262	798
247	263	797
248	264	797
249	265	796
250	266	794
251	267	793
252	268	791
253	269	790
254	270	789
255	271	788
256	272	786
257	273	785
258	274	784
259	275	782
260	276	782
261	277	781
262	278	780
263	279	779
264	280	777
265	281	776
266	282	775
267	283	774
268	284	773
269	285	772
270	286	770
271	287	768
272	288	767
273	289	766
274	290	766
275	291	765
276	292	763
277	293	762
278	294	760
279	295	760
280	296	759
281	297	758
282	298	756
283	299	755
284	300	754
285	301	753
286	302	752
287	303	750
288	304	749
289	305	749
290	307	748
291	308	747
292	309	746
293	310	745
294	311	743
295	312	742
296	313	741
297	314	740
298	315	739
299	316	737
300	317	736
301	318	735
302	318	733
303	320	732
304	321	731
305	321	730
306	322	728
307	323	727
308	324	726
309	325	725
310	327	724
311	328	723
312	329	722
313	330	721
314	330	719
315	332	719
316	333	718
317	334	717
318	335	716
319	336	715
320	337	714
321	339	714
322	340	713
323	341	712
324	342	711
325	343	710
326	344	709
327	346	709
328	347	708
329	348	707
330	349	706
331	350	705
332	351	704
333	352	703
334	353	701
335	355	701
336	356	701
337	357	700
338	358	699
339	359	698
340	360	697
341	361	695
342	362	694
343	363	693
344	365	692
345	366	691
346	367	690
347	368	689
348	368	688
349	370	687
350	371	686
351	372	684
352	372	683
353	373	682
354	374	681
355	375	680
356	377	679
357	378	678
358	379	677
359	380	675
360	381	674
361	382	673
362	383	673
363	384	671
364	385	670
365	386	669
366	387	667
367	388	667
368	389	666
369	390	665
370	391	664
371	392	663
372	393	662
373	395	661
374	396	660
375	397	659
376	398	658
377	399	657
378	400	656
379	401	655
380	402	654
381	403	653
382	404	651
383	405	650
384	406	649
385	407	648
386	408	647
387	409	646
388	410	645
389	411	643
390	412	642
391	413	642
392	415	641
393	416	640
394	417	638
395	417	637
396	418	636
397	420	635
398	421	634
399	422	633
400	423	631
401	423	630
402	424	629
403	425	628
404	426	627
405	427	626
406	428	624
407	429	623
408	430	622
409	432	621
410	433	620
411	434	620
412	435	618
413	436	617
414	437	616
415	438	615
416	439	614
417	440	613
418	441	612
419	442	610
420	443	609
421	444	608
422	445	607
423	446	606
424	447	605
425	448	604
426	449	603
427	450	602
428	451	601
429	452	600
430	453	598
431	454	597
432	455	596
433	456	595
434	457	594
435	458	593
436	459	591
437	460	590
438	461	589
439	462	588
440	463	586
441	464	586
442	465	584
443	466	583
444	466	582
445	467	581
446	468	579
447	469	579
448	471	578
449	472	577
450	473	575
451	474	574
452	475	573
453	476	572
454	477	571
455	478	570
456	479	569
457	479	568
458	480	566
459	481	565
460	482	564
461	484	563
462	484	562
463	485	561
464	486	560
465	487	558
466	488	558
467	489	556
468	490	555
469	492	554
470	493	553
471	493	552
472	495	551
473	496	550
474	497	549
475	498	548
476	499	547
477	499	545
478	500	544
479	501	543
480	502	542
481	503	541
482	504	540
483	505	538
484	506	537
485	507	536
486	508	535
487	509	534
488	510	533
489	511	532
490	512	531
491	513	530
492	514	529
493	515	528
494	516	527
495	517	526
496	518	525
497	520	524
498	521	523
499	522	522
500	523	521
501	524	520
502	526	519
503	527	518
504	528	517
505	529	516
506	530	515
507	531	514
508	532	513
509	533	512
510	534	511
511	535	510
512	536	509
513	537	508
514	539	507
515	540	506
516	541	505
517	541	504
518	542	503
519	543	501
520	544	500
521	545	499
522	547	498
523	547	497
524	548	496
525	549	495
526	550	494
527	552	493
528	553	492
529	554	491
530	555	490
531	555	489
532	557	488
533	558	487
534	559	486
535	560	484
536	560	483
537	561	482
538	562	481
539	563	480
540	565	479
541	566	478
542	567	477
543	567	476
544	568	474
545	569	473
546	571	472
547	572	471
548	572	470
549	574	469
550	574	468
551	575	467
552	577	466
553	578	465
554	578	464
555	579	463
556	580	461
557	581	460
558	582	459
559	584	458
560	585	457
561	586	456
562	587	455
563	588	454
564	589	453
565	590	452
566	591	451
567	592	450
568	592	449
569	594	448
570	595	447
571	596	446
572	597	445
573	598	444
574	599	443
575	600	441
576	601	440
577	602	439
578	603	438
579	604	437
580	605	436
581	606	435
582	607	434
583	608	433
584	610	432
585	611	431
586	612	430
587	613	429
588	614	428
589	615	427
590	616	426
591	617	425
592	618	424
593	620	423
594	621	423
595	622	422
596	623	421
597	624	420
598	625	419
599	626	417
600	628	417
601	629	415
602	630	414
603	630	413
604	632	412
605	633	411
606	634	410
607	634	409
608	635	408
609	636	407
610	637	406
611	638	405
612	640	404
613	641	403
614	642	402
615	644	401
616	645	400
617	646	399
618	647	398
619	648	397
620	649	396
621	650	395
622	651	394
623	652	393
624	653	392
625	654	390
626	655	389
627	656	388
628	657	387
629	658	386
630	659	385
631	660	384
632	661	383
633	662	382
634	663	381
635	664	380
636	665	379
637	666	378
638	667	377
639	668	376
640	670	375
641	671	374
642	672	373
643	673	372
644	674	371
645	676	370
646	677	369
647	678	368
648	679	367
649	680	366
650	681	365
651	682	364
652	683	363
653	684	362
654	685	361
655	686	360
656	687	359
657	688	358
658	689	356
659	690	355
660	691	354
661	692	353
662	693	352
663	694	351
664	696	350
