iter	Passed	Remaining
0	1	108
1	2	102
2	2	96
3	3	89
4	4	87
5	5	89
6	6	87
7	7	85
8	8	84
9	9	81
10	9	80
11	10	78
12	11	76
13	12	74
14	12	73
15	13	71
16	14	71
17	15	70
18	16	69
19	16	67
20	17	66
21	18	64
22	19	63
23	19	62
24	20	61
25	21	60
26	21	58
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	50
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	39	37
51	39	36
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	74	0
99	74	0
